,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
193,Saskylakh,43,RU,1575569973,99,71.97,114.09,235.16,1.19
194,Kapaa,40,US,1575569944,83,22.08,-159.32,297.15,6.7
195,Palm Springs,1,US,1575569973,63,33.82,-116.54,289.15,1.5
196,Pochutla,20,MX,1575569973,55,15.74,-96.47,304.82,4.1
197,Wattegama,100,LK,1575569973,97,7.35,80.68,295.05,0.97
198,Narsaq,20,GL,1575569973,31,60.91,-46.05,267.15,2.1
199,Sumenep,100,ID,1575569973,70,-7.02,113.87,301.69,1.44
200,Bilibino,31,RU,1575569973,88,68.06,166.44,248.96,4.0
201,Farias Brito,40,BR,1575569973,21,-6.93,-39.57,308.15,3.6
202,Avarua,2,CK,1575569757,78,-21.21,-159.78,299.15,3.1
203,Cabadiangan,75,PH,1575569973,83,10.45,123.98,299.15,0.5
204,Chuy,37,UY,1575569973,48,-33.69,-53.46,294.71,5.46
205,Formosa do Rio Preto,36,BR,1575569973,46,-11.04,-45.19,304.85,2.47
206,Sovetskiy,98,RU,1575569973,97,56.76,48.47,273.38,7.55
207,Prostejov,90,CZ,1575569973,86,49.47,17.11,272.15,3.6
208,Nara,75,JP,1575569973,49,34.68,135.8,282.15,10.3
209,Katsuura,75,JP,1575569973,49,33.93,134.5,281.15,7.2
210,Katete,29,UG,1575569973,96,-0.78,29.75,287.99,0.88
211,Port Elizabeth,90,US,1575569973,38,39.31,-74.98,280.37,7.7
212,Turukhansk,100,RU,1575569973,93,65.8,87.96,262.78,6.92
213,Kruisfontein,0,ZA,1575569974,70,-34.0,24.73,290.66,5.58
214,Gat,85,SN,1575569974,27,14.69,-16.54,304.15,2.1
215,Nuuk,20,GL,1575569974,78,64.17,-51.74,261.15,5.1
216,Green River,90,US,1575569974,100,41.53,-109.47,273.71,2.1
217,Kaeo,0,NZ,1575569974,100,-35.1,173.78,288.15,0.97
218,Turayf,0,SA,1575569974,66,31.68,38.65,285.15,2.6
219,Yumen,40,CN,1575569974,47,40.29,97.04,266.47,3.86
220,Parsons,40,US,1575569974,42,37.34,-95.26,291.15,3.1
221,Najran,0,SA,1575569974,45,17.54,44.22,291.15,2.1
222,Singida,100,TZ,1575569974,76,-4.82,34.75,293.86,1.03
223,Codrington,0,AU,1575569974,76,-28.95,153.24,292.04,3.1
224,Madisonville,1,US,1575569727,43,37.33,-87.5,287.15,2.6
225,Tommot,100,RU,1575569974,95,58.97,126.27,254.27,3.92
226,Rauma,40,FI,1575569974,75,61.13,21.5,279.15,6.7
227,Abashiri,100,JP,1575569974,66,44.01,144.25,271.43,6.31
228,Sinazongwe,71,ZM,1575569974,56,-17.26,27.46,301.97,3.44
229,Petropavlovsk-Kamchatskiy,91,RU,1575569975,85,53.05,158.65,262.15,3.0
230,Bom Jesus da Lapa,5,BR,1575569975,28,-13.25,-43.41,309.15,3.1
231,Tabora,40,TZ,1575569975,88,-5.02,32.81,295.15,2.6
232,Inirida,100,CO,1575569975,95,3.87,-67.92,299.39,0.98
233,Humaita,40,AR,1575569975,47,-24.93,-65.37,298.15,4.1
234,West Plains,90,US,1575569975,38,36.73,-91.85,289.15,3.6
235,Silvan,90,TR,1575569975,93,38.14,41.01,281.15,3.6
236,Georgetown,40,GY,1575569817,70,6.8,-58.16,304.15,5.1
237,Puerto Cabezas,40,NI,1575569762,55,14.04,-83.39,303.15,7.2
238,Yayva,99,RU,1575569975,80,59.33,57.26,260.93,0.89
239,Satellite Beach,1,US,1575569975,45,28.18,-80.59,294.82,3.6
240,Lodhran,0,PK,1575569975,25,29.54,71.63,289.79,1.8
241,Geraldton,75,CA,1575569975,85,49.72,-86.95,264.15,1.19
242,Prince Rupert,75,CA,1575569975,93,54.32,-130.32,275.15,3.1
243,Rio Branco,75,BR,1575569976,66,-9.98,-67.82,304.15,2.1
244,Bermeo,40,ES,1575569976,93,43.42,-2.72,285.37,2.1
245,Daru,88,PG,1575569976,93,-9.07,143.21,297.76,1.56
246,Den Helder,90,NL,1575569976,93,52.96,4.76,282.15,9.8
247,Ihlow,0,DE,1575569976,86,52.62,14.07,275.93,4.6
248,Ingham,92,AU,1575569868,93,-18.65,146.16,296.61,0.54
249,Tautira,90,PF,1575569976,69,-17.73,-149.15,301.15,2.1
250,Malanje,92,AO,1575569976,95,-9.54,16.35,293.16,1.64
251,Shimoda,100,JP,1575569976,76,34.7,138.93,280.93,15.56
252,Galveston,40,US,1575569903,65,40.58,-86.19,280.37,3.1
253,Thurso,90,CA,1575569976,63,45.6,-75.25,270.37,4.6
254,Talcahuano,0,CL,1575569976,59,-36.72,-73.12,292.15,10.3
255,Murray Bridge,15,AU,1575569976,83,-35.12,139.28,285.93,0.45
256,Los Llanos de Aridane,40,ES,1575569976,52,28.66,-17.92,292.59,8.2
257,Ushtobe,100,KZ,1575569976,39,45.25,77.98,277.55,2.32
258,Alofi,59,NU,1575569878,94,-19.06,-169.92,297.15,1.0
259,Lompoc,90,US,1575569692,93,34.64,-120.46,290.15,4.6
260,Moose Factory,90,CA,1575569976,85,51.26,-80.61,268.15,7.2
261,Diban,100,SY,1575569976,62,35.02,40.51,286.79,5.68
262,Mahajanga,20,MG,1575569976,79,-15.72,46.32,302.15,5.1
263,Shingu,99,JP,1575569976,65,33.72,135.99,282.3,7.27
264,Tucurui,71,BR,1575569976,63,-3.77,-49.67,304.23,0.9
265,Conde,67,BR,1575569976,76,-11.81,-37.61,299.98,4.93
266,Mocuba,30,MZ,1575569976,91,-16.84,36.99,296.33,2.43
267,Panguna,98,PG,1575569977,96,-6.32,155.48,293.89,0.82
268,North Bend,90,US,1575569923,100,43.41,-124.22,283.15,3.1
269,Barahona,40,DO,1575569977,66,18.21,-71.1,304.15,7.7
270,Bozhou,40,CN,1575569977,75,33.86,115.78,274.89,3.3
271,Carmen,75,PH,1575569977,88,7.36,125.71,299.15,0.79
272,Waddan,0,LY,1575569977,41,29.16,16.14,292.01,2.53
273,Guerrero Negro,0,MX,1575569977,49,27.97,-114.04,295.78,5.63
274,Hede,88,SE,1575569977,75,60.45,15.49,279.15,8.2
275,Rafraf,20,TN,1575569977,82,37.19,10.18,287.15,1.0
276,Iqaluit,90,CA,1575569964,78,63.75,-68.52,263.15,2.1
277,Beringovskiy,100,RU,1575569977,88,63.05,179.32,269.88,10.93
278,Gilroy,20,US,1575569977,100,37.01,-121.56,288.15,1.16
279,Vestmanna,47,FO,1575569977,69,62.16,-7.17,277.15,3.1
280,Ketchikan,1,US,1575569977,100,55.34,-131.65,275.15,2.6
281,Hoquiam,90,US,1575569977,93,46.98,-123.89,283.15,5.1
282,Nouadhibou,0,MR,1575569977,60,20.93,-17.03,294.15,6.2
283,Nanortalik,37,GL,1575569977,50,60.14,-45.24,271.92,0.95
284,Santa Isabel do Rio Negro,96,BR,1575569977,92,-0.41,-65.02,300.69,1.82
285,Tura,100,RU,1575569977,94,64.27,100.22,252.7,2.18
286,Deputatskiy,100,RU,1575569977,99,69.3,139.9,247.89,1.07
287,Oranjestad,40,AW,1575569836,59,12.52,-70.03,305.15,7.7
288,Necochea,20,AR,1575569977,60,-38.55,-58.74,291.48,2.24
289,Mahebourg,40,MU,1575569978,83,-20.41,57.7,299.26,1.71
290,Pennagaram,42,IN,1575569978,95,12.13,77.9,292.24,2.14
291,Cayenne,45,GF,1575569978,74,4.94,-52.33,302.15,3.1
292,Riberalta,75,BO,1575569978,62,-11.0,-66.08,305.15,3.1
293,Kutum,0,SD,1575569978,17,14.2,24.66,292.13,2.24
294,Misratah,0,LY,1575569978,62,32.38,15.09,293.07,4.21
295,Walvis Bay,62,NA,1575569978,72,-22.95,14.51,293.15,1.5
296,Uyuni,9,BO,1575569978,16,-20.46,-66.82,291.81,6.12
297,Rovaniemi,90,FI,1575569978,91,66.5,25.72,273.15,6.2
298,Aklavik,90,CA,1575569978,71,68.22,-135.01,257.15,6.7
299,Canning,14,AR,1575569978,40,-34.86,-58.5,299.82,4.6
300,Rawson,0,AR,1575569978,68,-43.3,-65.11,286.6,6.95
301,Paita,0,PE,1575569978,100,-5.09,-81.11,290.15,6.7
302,Cortez,90,US,1575569978,100,37.35,-108.58,274.82,6.12
303,Conceicao do Araguaia,75,BR,1575569978,44,-8.26,-49.26,309.15,5.1
304,Salamina,38,CO,1575569978,69,5.41,-75.49,296.51,0.45
305,Bahia Honda,96,CU,1575569978,55,22.9,-83.16,296.71,2.95
306,Severo-Kurilsk,93,RU,1575569978,86,50.68,156.12,267.42,12.57
307,Harper,1,US,1575569978,38,30.3,-99.24,297.15,6.2
308,Margate,90,AU,1575569978,57,-43.03,147.26,284.15,8.7
309,Chapada dos Guimaraes,75,BR,1575569978,83,-15.46,-55.75,299.15,3.1
310,Saint-Paul,0,FR,1575569978,75,45.22,1.9,278.15,1.0
311,Sokna,75,NO,1575569978,80,60.24,9.92,277.15,9.3
312,Quelimane,40,MZ,1575569978,69,-17.88,36.89,301.15,5.7
313,Kingaroy,0,AU,1575569979,71,-26.54,151.84,284.15,0.64
314,Kantunilkin,75,MX,1575569979,61,21.1,-87.49,300.15,2.1
315,Zambezi,89,ZM,1575569979,87,-13.55,23.12,293.71,1.54
316,Tarnos,0,FR,1575569979,93,43.54,-1.46,286.48,1.5
317,Maldonado,75,UY,1575569979,59,-34.91,-54.96,290.15,7.7
318,Kirakira,99,SB,1575569979,88,-10.46,161.92,297.53,2.51
319,Little Current,1,CA,1575569979,73,45.98,-81.93,270.37,6.2
320,Matagami,0,NG,1575569979,35,9.67,8.4,297.59,0.94
321,Zavyalovo,99,RU,1575569979,68,54.51,82.45,272.15,5.0
322,Kandrian,62,PG,1575569979,85,-6.21,149.55,295.28,0.86
323,Bintulu,75,MY,1575569979,94,3.17,113.03,298.15,1.0
324,Touros,20,BR,1575569979,43,-5.2,-35.46,304.15,6.2
325,Amahai,100,ID,1575569979,72,-3.31,129.0,302.16,1.82
326,Milkovo,20,BG,1575569979,74,41.53,24.68,279.82,2.1
327,Zhangjiakou,0,CN,1575569979,69,40.77,114.88,259.85,1.16
328,Honiara,40,SB,1575569979,94,-9.43,159.96,296.15,1.0
329,Belgrade,90,RS,1575569769,74,44.82,20.46,273.15,2.6
330,Simplicio Mendes,94,BR,1575569979,25,-7.85,-41.91,310.32,1.47
331,Samarinda,100,ID,1575569980,98,-0.5,117.14,296.51,0.3
332,Fairbanks,1,US,1575569980,74,64.84,-147.72,244.15,1.64
333,Tevaitoa,100,PF,1575569980,75,-16.78,-151.5,300.79,2.76
334,Lavrentiya,100,RU,1575569980,86,65.58,-170.99,263.28,9.15
335,Yulara,0,AU,1575569980,9,-25.24,130.99,297.15,3.1
336,Shenjiamen,100,CN,1575569980,79,29.96,122.3,285.03,12.62
337,Hovd,75,NO,1575569980,75,63.83,10.7,278.15,5.7
338,Palembang,100,ID,1575569980,96,-2.99,104.76,296.96,1.36
339,Palana,100,RU,1575569980,75,59.08,159.95,262.55,2.13
340,Bilma,0,NE,1575569980,16,18.69,12.92,296.04,3.8
341,Clyde River,75,CA,1575569980,83,70.47,-68.59,250.15,3.6
342,Abu Samrah,36,SY,1575569980,79,35.3,37.18,282.93,5.54
343,Caxito,75,BR,1575569980,66,-22.65,-42.51,303.15,7.7
344,Betsiamites,90,CA,1575569980,63,48.94,-68.65,272.15,3.1
345,Trairi,72,BR,1575569980,40,-3.28,-39.27,305.18,5.13
346,Trincomalee,100,LK,1575569980,98,8.58,81.23,296.43,1.23
347,Aripuana,32,BR,1575569980,42,-9.17,-60.63,307.92,1.08
348,Araouane,47,ML,1575569980,23,18.9,-3.53,294.67,0.29
349,Corinto,40,CO,1575569980,48,3.17,-76.26,303.15,1.5
350,Erdenet,0,MN,1575569980,70,49.03,104.04,256.9,1.47
351,Meulaboh,78,ID,1575569980,80,4.14,96.13,300.57,2.88
352,Taga,59,ID,1575569980,81,-8.61,120.44,294.17,1.23
353,Imeni Poliny Osipenko,84,RU,1575569980,93,52.42,136.49,251.53,4.9
354,Kaitangata,49,NZ,1575569980,77,-46.28,169.85,284.08,5.43
355,Nicoya,40,CR,1575569702,58,10.15,-85.45,304.15,3.6
356,Goderich,97,CA,1575569712,85,43.74,-81.71,274.26,4.92
357,Popondetta,94,PG,1575569981,96,-8.77,148.24,291.77,0.86
358,Angoche,9,MZ,1575569981,75,-16.23,39.91,300.12,3.82
359,Naze,40,NG,1575569981,79,5.43,7.07,302.15,3.1
360,Te Anau,96,NZ,1575569981,92,-45.41,167.72,282.4,2.11
361,Itacoatiara,6,BR,1575569981,33,-3.14,-58.44,310.27,2.56
362,Sooke,90,CA,1575569981,87,48.37,-123.73,280.93,2.1
363,Fria,0,GN,1575569981,38,10.36,-13.58,301.72,1.68
364,Souillac,0,FR,1575569981,87,45.6,-0.6,280.93,1.0
365,Chamba,0,IN,1575569981,29,32.56,76.12,281.96,3.25
366,Uarini,20,BR,1575569981,74,-2.98,-65.16,304.15,3.1
367,Painesville,90,US,1575569981,59,41.72,-81.25,276.48,7.7
368,Boguchany,27,RU,1575569981,95,58.38,97.46,255.36,1.48
369,La Ligua,0,CL,1575569981,72,-32.45,-71.23,291.15,9.3
370,Neryungri,100,RU,1575569981,92,56.66,124.71,253.95,3.28
371,Anori,98,BR,1575569981,47,-3.74,-61.66,307.36,1.7
372,Northam,0,AU,1575569981,25,-31.65,116.67,302.15,8.7
373,Rehoboth,100,NA,1575569981,81,-23.31,17.08,288.36,4.68
